# JD  RA Dec
2453762.500000000     309.21241 -18.56779
2453763.500000000     310.24879 -18.30933
2453764.500000000     311.28183 -18.04535
2453765.500000000     312.31149 -17.77595
2453766.500000000     313.33774 -17.50126
2453767.500000000     314.36054 -17.22140
2453768.500000000     315.37988 -16.93648
2453769.500000000     316.39575 -16.64662
2453770.500000000     317.40815 -16.35195
2453771.500000000     318.41707 -16.05259
2453772.500000000     319.42255 -15.74864
2453773.500000000     320.42459 -15.44023
2453774.500000000     321.42323 -15.12748
2453775.500000000     322.41851 -14.81049
2453776.500000000     323.41047 -14.48937
2453777.500000000     324.39914 -14.16425
2453778.500000000     325.38458 -13.83523
2453779.500000000     326.36684 -13.50242
2453780.500000000     327.34597 -13.16594
2453781.500000000     328.32204 -12.82589
2453782.500000000     329.29509 -12.48238
2453783.500000000     330.26520 -12.13552
2453784.500000000     331.23242 -11.78542
2453785.500000000     332.19682 -11.43219
2453786.500000000     333.15846 -11.07594
2453787.500000000     334.11741 -10.71677
2453788.500000000     335.07374 -10.35481
2453789.500000000     336.02750  -9.99015
2453790.500000000     336.97876  -9.62292
2453791.500000000     337.92758  -9.25323
2453792.500000000     338.87401  -8.88118
2453793.500000000     339.81812  -8.50691
2453794.500000000     340.75995  -8.13054
2453795.500000000     341.69956  -7.75217
2453796.500000000     342.63700  -7.37195
2453797.500000000     343.57232  -6.98998
2453798.500000000     344.50559  -6.60639
2453799.500000000     345.43688  -6.22129
2453800.500000000     346.36627  -5.83479
2453801.500000000     347.29382  -5.44701
2453802.500000000     348.21963  -5.05806
2453803.500000000     349.14378  -4.66803
2453804.500000000     350.06636  -4.27703
2453805.500000000     350.98745  -3.88516
2453806.500000000     351.90716  -3.49253
2453807.500000000     352.82557  -3.09924
2453808.500000000     353.74278  -2.70538
2453809.500000000     354.65888  -2.31105
2453810.500000000     355.57398  -1.91634
2453811.500000000     356.48816  -1.52136
2453812.500000000     357.40154  -1.12620
2453813.500000000     358.31419  -0.73095
2453814.500000000     359.22622  -0.33571
2453815.500000000       0.13773   0.05942
2453816.500000000       1.04880   0.45436
2453817.500000000       1.95952   0.84900
2453818.500000000       2.87000   1.24324
2453819.500000000       3.78030   1.63699
2453820.500000000       4.69051   2.03014
2453821.500000000       5.60071   2.42258
2453822.500000000       6.51095   2.81422
2453823.500000000       7.42132   3.20494
2453824.500000000       8.33187   3.59464
2453825.500000000       9.24266   3.98320
2453826.500000000      10.15376   4.37051
2453827.500000000      11.06524   4.75648
2453828.500000000      11.97715   5.14099
2453829.500000000      12.88958   5.52396
2453830.500000000      13.80259   5.90527
2453831.500000000      14.71626   6.28484
2453832.500000000      15.63068   6.66257
2453833.500000000      16.54592   7.03836
2453834.500000000      17.46205   7.41214
2453835.500000000      18.37916   7.78380
2453836.500000000      19.29733   8.15325
2453837.500000000      20.21664   8.52041
2453838.500000000      21.13716   8.88520
2453839.500000000      22.05899   9.24751
2453840.500000000      22.98219   9.60727
2453841.500000000      23.90684   9.96439
2453842.500000000      24.83303  10.31878
2453843.500000000      25.76082  10.67036
2453844.500000000      26.69030  11.01904
2453845.500000000      27.62153  11.36472
2453846.500000000      28.55457  11.70733
2453847.500000000      29.48949  12.04676
2453848.500000000      30.42633  12.38292
2453849.500000000      31.36515  12.71572
2453850.500000000      32.30599  13.04507
2453851.500000000      33.24888  13.37085
2453852.500000000      34.19384  13.69298
2453853.500000000      35.14090  14.01135
2453854.500000000      36.09009  14.32586
2453855.500000000      37.04141  14.63642
2453856.500000000      37.99488  14.94293
2453857.500000000      38.95053  15.24530
2453858.500000000      39.90837  15.54344
2453859.500000000      40.86842  15.83726
2453860.500000000      41.83071  16.12668
2453861.500000000      42.79525  16.41160
2453862.500000000      43.76206  16.69196
2453863.500000000      44.73116  16.96765
2453864.500000000      45.70256  17.23862
2453865.500000000      46.67628  17.50477
2453866.500000000      47.65234  17.76602
2453867.500000000      48.63075  18.02232
2453868.500000000      49.61152  18.27356
2453869.500000000      50.59467  18.51970
2453870.500000000      51.58020  18.76064
2453871.500000000      52.56812  18.99632
2453872.500000000      53.55843  19.22667
2453873.500000000      54.55114  19.45161
2453874.500000000      55.54624  19.67106
2453875.500000000      56.54371  19.88497
2453876.500000000      57.54354  20.09325
2453877.500000000      58.54569  20.29583
2453878.500000000      59.55013  20.49263
2453879.500000000      60.55681  20.68359
2453880.500000000      61.56568  20.86863
2453881.500000000      62.57668  21.04769
2453882.500000000      63.58974  21.22069
2453883.500000000      64.60479  21.38756
2453884.500000000      65.62176  21.54826
2453885.500000000      66.64057  21.70271
2453886.500000000      67.66115  21.85086
2453887.500000000      68.68343  21.99266
2453888.500000000      69.70732  22.12806
2453889.500000000      70.73276  22.25702
2453890.500000000      71.75966  22.37948
2453891.500000000      72.78796  22.49540
2453892.500000000      73.81758  22.60476
2453893.500000000      74.84843  22.70750
2453894.500000000      75.88045  22.80361
2453895.500000000      76.91356  22.89304
2453896.500000000      77.94769  22.97577
2453897.500000000      78.98276  23.05177
2453898.500000000      80.01870  23.12102
2453899.500000000      81.05543  23.18349
2453900.500000000      82.09290  23.23917
2453901.500000000      83.13102  23.28803
2453902.500000000      84.16972  23.33007
2453903.500000000      85.20891  23.36525
2453904.500000000      86.24851  23.39357
2453905.500000000      87.28844  23.41501
2453906.500000000      88.32858  23.42956
2453907.500000000      89.36884  23.43723
2453908.500000000      90.40910  23.43799
2453909.500000000      91.44926  23.43186
2453910.500000000      92.48920  23.41884
2453911.500000000      93.52880  23.39892
2453912.500000000      94.56794  23.37213
2453913.500000000      95.60651  23.33847
2453914.500000000      96.64440  23.29797
2453915.500000000      97.68150  23.25064
2453916.500000000      98.71769  23.19651
2453917.500000000      99.75288  23.13560
2453918.500000000     100.78697  23.06794
2453919.500000000     101.81986  22.99358
2453920.500000000     102.85146  22.91253
2453921.500000000     103.88169  22.82484
2453922.500000000     104.91046  22.73055
2453923.500000000     105.93769  22.62970
2453924.500000000     106.96332  22.52232
2453925.500000000     107.98728  22.40848
2453926.500000000     109.00951  22.28820
2453927.500000000     110.02996  22.16154
2453928.500000000     111.04858  22.02854
2453929.500000000     112.06533  21.88926
2453930.500000000     113.08017  21.74374
2453931.500000000     114.09305  21.59202
2453932.500000000     115.10394  21.43417
2453933.500000000     116.11278  21.27023
2453934.500000000     117.11955  21.10027
2453935.500000000     118.12417  20.92433
2453936.500000000     119.12662  20.74249
2453937.500000000     120.12683  20.55480
2453938.500000000     121.12476  20.36134
2453939.500000000     122.12035  20.16218
2453940.500000000     123.11357  19.95738
2453941.500000000     124.10436  19.74703
2453942.500000000     125.09270  19.53119
2453943.500000000     126.07854  19.30996
2453944.500000000     127.06185  19.08340
2453945.500000000     128.04261  18.85160
2453946.500000000     129.02080  18.61463
2453947.500000000     129.99640  18.37259
2453948.500000000     130.96940  18.12556
2453949.500000000     131.93980  17.87361
2453950.500000000     132.90760  17.61684
2453951.500000000     133.87279  17.35532
2453952.500000000     134.83540  17.08915
2453953.500000000     135.79544  16.81839
2453954.500000000     136.75293  16.54314
2453955.500000000     137.70791  16.26347
2453956.500000000     138.66041  15.97947
2453957.500000000     139.61047  15.69121
2453958.500000000     140.55815  15.39876
2453959.500000000     141.50350  15.10221
2453960.500000000     142.44655  14.80163
2453961.500000000     143.38737  14.49710
2453962.500000000     144.32599  14.18869
2453963.500000000     145.26246  13.87650
2453964.500000000     146.19682  13.56060
2453965.500000000     147.12910  13.24108
2453966.500000000     148.05935  12.91804
2453967.500000000     148.98759  12.59155
2453968.500000000     149.91387  12.26172
2453969.500000000     150.83823  11.92864
2453970.500000000     151.76071  11.59240
2453971.500000000     152.68135  11.25309
2453972.500000000     153.60020  10.91081
2453973.500000000     154.51730  10.56566
2453974.500000000     155.43270  10.21772
2453975.500000000     156.34645   9.86710
2453976.500000000     157.25862   9.51389
2453977.500000000     158.16924   9.15818
2453978.500000000     159.07840   8.80007
2453979.500000000     159.98614   8.43965
2453980.500000000     160.89254   8.07702
2453981.500000000     161.79767   7.71225
2453982.500000000     162.70160   7.34545
2453983.500000000     163.60441   6.97670
2453984.500000000     164.50619   6.60608
2453985.500000000     165.40703   6.23368
2453986.500000000     166.30702   5.85958
2453987.500000000     167.20626   5.48385
2453988.500000000     168.10485   5.10657
2453989.500000000     169.00289   4.72783
2453990.500000000     169.90046   4.34771
2453991.500000000     170.79767   3.96629
2453992.500000000     171.69458   3.58366
2453993.500000000     172.59130   3.19991
2453994.500000000     173.48789   2.81514
2453995.500000000     174.38443   2.42943
2453996.500000000     175.28100   2.04289
2453997.500000000     176.17768   1.65561
2453998.500000000     177.07453   1.26769
2453999.500000000     177.97164   0.87923
2454000.500000000     178.86908   0.49033
2454001.500000000     179.76691   0.10109
2454002.500000000     180.66522  -0.28838
2454003.500000000     181.56408  -0.67800
2454004.500000000     182.46356  -1.06764
2454005.500000000     183.36374  -1.45723
2454006.500000000     184.26468  -1.84664
2454007.500000000     185.16648  -2.23578
2454008.500000000     186.06920  -2.62456
2454009.500000000     186.97293  -3.01286
2454010.500000000     187.87775  -3.40060
2454011.500000000     188.78375  -3.78767
2454012.500000000     189.69100  -4.17399
2454013.500000000     190.59962  -4.55945
2454014.500000000     191.50969  -4.94397
2454015.500000000     192.42131  -5.32746
2454016.500000000     193.33459  -5.70982
2454017.500000000     194.24963  -6.09097
2454018.500000000     195.16654  -6.47082
2454019.500000000     196.08540  -6.84928
2454020.500000000     197.00630  -7.22623
2454021.500000000     197.92934  -7.60158
2454022.500000000     198.85459  -7.97524
2454023.500000000     199.78213  -8.34708
2454024.500000000     200.71203  -8.71701
2454025.500000000     201.64436  -9.08491
2454026.500000000     202.57919  -9.45068
2454027.500000000     203.51658  -9.81419
2454028.500000000     204.45659 -10.17534
2454029.500000000     205.39928 -10.53402
2454030.500000000     206.34471 -10.89010
2454031.500000000     207.29293 -11.24347
2454032.500000000     208.24398 -11.59402
2454033.500000000     209.19792 -11.94164
2454034.500000000     210.15479 -12.28619
2454035.500000000     211.11463 -12.62758
2454036.500000000     212.07749 -12.96568
2454037.500000000     213.04341 -13.30037
2454038.500000000     214.01242 -13.63156
2454039.500000000     214.98458 -13.95912
2454040.500000000     215.95992 -14.28294
2454041.500000000     216.93849 -14.60292
2454042.500000000     217.92034 -14.91896
2454043.500000000     218.90551 -15.23093
2454044.500000000     219.89406 -15.53876
2454045.500000000     220.88603 -15.84232
2454046.500000000     221.88147 -16.14151
2454047.500000000     222.88043 -16.43624
2454048.500000000     223.88293 -16.72639
2454049.500000000     224.88902 -17.01185
2454050.500000000     225.89870 -17.29252
2454051.500000000     226.91199 -17.56828
2454052.500000000     227.92890 -17.83901
2454053.500000000     228.94942 -18.10461
2454054.500000000     229.97354 -18.36497
2454055.500000000     231.00126 -18.61996
2454056.500000000     232.03255 -18.86949
2454057.500000000     233.06739 -19.11343
2454058.500000000     234.10573 -19.35168
2454059.500000000     235.14755 -19.58413
2454060.500000000     236.19279 -19.81066
2454061.500000000     237.24140 -20.03119
2454062.500000000     238.29333 -20.24559
2454063.500000000     239.34850 -20.45377
2454064.500000000     240.40685 -20.65563
2454065.500000000     241.46831 -20.85108
2454066.500000000     242.53280 -21.04001
2454067.500000000     243.60025 -21.22235
2454068.500000000     244.67058 -21.39801
2454069.500000000     245.74372 -21.56689
2454070.500000000     246.81958 -21.72894
2454071.500000000     247.89809 -21.88406
2454072.500000000     248.97918 -22.03219
2454073.500000000     250.06278 -22.17326
2454074.500000000     251.14880 -22.30719
2454075.500000000     252.23717 -22.43393
2454076.500000000     253.32781 -22.55341
2454077.500000000     254.42062 -22.66556
2454078.500000000     255.51550 -22.77033
2454079.500000000     256.61236 -22.86765
2454080.500000000     257.71108 -22.95748
2454081.500000000     258.81153 -23.03976
2454082.500000000     259.91361 -23.11444
2454083.500000000     261.01717 -23.18148
2454084.500000000     262.12209 -23.24083
2454085.500000000     263.22822 -23.29246
2454086.500000000     264.33543 -23.33633
2454087.500000000     265.44356 -23.37242
2454088.500000000     266.55246 -23.40069
2454089.500000000     267.66198 -23.42114
2454090.500000000     268.77196 -23.43374
2454091.500000000     269.88223 -23.43848
2454092.500000000     270.99264 -23.43537
2454093.500000000     272.10302 -23.42440
2454094.500000000     273.21320 -23.40557
2454095.500000000     274.32304 -23.37889
2454096.500000000     275.43238 -23.34439
2454097.500000000     276.54107 -23.30209
2454098.500000000     277.64897 -23.25199
2454099.500000000     278.75595 -23.19414
2454100.500000000     279.86188 -23.12857
2454101.500000000     280.96665 -23.05530
2454102.500000000     282.07013 -22.97437
2454103.500000000     283.17222 -22.88582
2454104.500000000     284.27281 -22.78970
2454105.500000000     285.37180 -22.68605
2454106.500000000     286.46908 -22.57491
2454107.500000000     287.56455 -22.45634
2454108.500000000     288.65811 -22.33039
2454109.500000000     289.74965 -22.19711
2454110.500000000     290.83909 -22.05657
2454111.500000000     291.92630 -21.90884
2454112.500000000     293.01121 -21.75398
2454113.500000000     294.09372 -21.59205
2454114.500000000     295.17372 -21.42315
2454115.500000000     296.25114 -21.24733
2454116.500000000     297.32588 -21.06470
2454117.500000000     298.39786 -20.87532
2454118.500000000     299.46698 -20.67930
2454119.500000000     300.53316 -20.47671
2454120.500000000     301.59633 -20.26767
2454121.500000000     302.65639 -20.05228
2454122.500000000     303.71329 -19.83062
2454123.500000000     304.76694 -19.60282
2454124.500000000     305.81730 -19.36897
